##### Q = 0
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^0, Q = 0 polynomial shapes
   alpha = 7.6: relative residual 0.984798  (27 equations, 2 unknowns)
   alpha = 7.65: relative residual 0.984751  (27 equations, 2 unknowns)
   alpha = 7.7: relative residual 0.984704  (27 equations, 2 unknowns)
   alpha = 7.75: relative residual 0.984657  (27 equations, 2 unknowns)
   alpha = 7.8: relative residual 0.984611  (27 equations, 2 unknowns)
   alpha = 7.85: relative residual 0.984566  (27 equations, 2 unknowns)
   alpha = 7.9: relative residual 0.984521  (27 equations, 2 unknowns)
   alpha = 7.95: relative residual 0.984476  (27 equations, 2 unknowns)
   alpha = 8.0: relative residual 0.984432  (27 equations, 2 unknowns)
   alpha = 8.05: relative residual 0.984389  (27 equations, 2 unknowns)
smallest residuals: [('0.1375', '1.0'), ('0.2709', '0.95'), ('0.3792', '1.05'), ('0.4944', '0.85'), ('0.5028', '1.6')] in 59s
DONE
Solution 3, t = 11/7, spins [3, 5, 7, 9, 11, 13], shape w^alpha (1-w)^2, Q = 0 polynomial shapes
   alpha = 0.05: relative residual 0.385444  (27 equations, 2 unknowns)
   alpha = 0.1: relative residual 0.692573  (27 equations, 2 unknowns)
   alpha = 0.15: relative residual 0.480949  (27 equations, 2 unknowns)
   alpha = 0.2: relative residual 0.637944  (27 equations, 2 unknowns)
   alpha = 0.25: gamma function pole
   alpha = 0.3: relative residual 0.861472  (27 equations, 2 unknowns)
   alpha = 0.35: relative residual 0.780748  (27 equations, 2 unknowns)
   alpha = 0.4: relative residual 0.894364  (27 equations, 2 unknowns)
   alpha = 0.45: relative residual 0.983462  (27 equations, 2 unknowns)
   alpha = 0.5: relative residual 0.828646  (27 equations, 2 unknowns)
   alpha = 0.55: relative residual 0.639129  (27 equations, 2 unknowns)
   alpha = 0.6: relative residual 0.518042  (27 equations, 2 unknowns)
   alpha = 0.65: relative residual 0.450235  (27 equations, 2 unknowns)
   alpha = 0.7: relative residual 0.417994  (27 equations, 2 unknowns)
   alpha = 0.75: gamma function pole
   alpha = 0.8: relative residual 0.399954  (27 equations, 2 unknowns)
   alpha = 0.85: relative residual 0.408888  (27 equations, 2 unknowns)
   alpha = 0.9: relative residual 0.486889  (27 equations, 2 unknowns)
   alpha = 0.95: relative residual 0.42412  (27 equations, 2 unknowns)
   alpha = 1.0: relative residual 0.440528  (27 equations, 2 unknowns)
   alpha = 1.05: relative residual 0.494188  (27 equations, 2 unknowns)
   alpha = 1.1: relative residual 0.678117  (27 equations, 2 unknowns)
   alpha = 1.15: relative residual 0.57762  (27 equations, 2 unknowns)
   alpha = 1.2: relative residual 0.681792  (27 equations, 2 unknowns)
   alpha = 1.25: gamma function pole
   alpha = 1.3: relative residual 0.881929  (27 equations, 2 unknowns)
   alpha = 1.35: relative residual 0.853067  (27 equations, 2 unknowns)
   alpha = 1.4: relative residual 0.953083  (27 equations, 2 unknowns)
   alpha = 1.45: relative residual 0.926466  (27 equations, 2 unknowns)
   alpha = 1.5: relative residual 0.656252  (27 equations, 2 unknowns)
   alpha = 1.55: relative residual 0.529181  (27 equations, 2 unknowns)
   alpha = 1.6: relative residual 0.50218  (27 equations, 2 unknowns)
   alpha = 1.65: relative residual 0.506792  (27 equations, 2 unknowns)
   alpha = 1.7: relative residual 0.520959  (27 equations, 2 unknowns)
   alpha = 1.75: gamma function pole
   alpha = 1.8: relative residual 0.556227  (27 equations, 2 unknowns)
   alpha = 1.85: relative residual 0.574473  (27 equations, 2 unknowns)
   alpha = 1.9: relative residual 0.59257  (27 equations, 2 unknowns)
   alpha = 1.95: relative residual 0.610369  (27 equations, 2 unknowns)
   alpha = 2.0: relative residual 0.627781  (27 equations, 2 unknowns)
   alpha = 2.05: relative residual 0.644737  (27 equations, 2 unknowns)
   alpha = 2.1: relative residual 0.661183  (27 equations, 2 unknowns)
   alpha = 2.15: relative residual 0.67707  (27 equations, 2 unknowns)
   alpha = 2.2: relative residual 0.692361  (27 equations, 2 unknowns)
   alpha = 2.25: gamma function pole
   alpha = 2.3: relative residual 0.72105  (27 equations, 2 unknowns)
   alpha = 2.35: relative residual 0.734416  (27 equations, 2 unknowns)
   alpha = 2.4: relative residual 0.747124  (27 equations, 2 unknowns)
   alpha = 2.45: relative residual 0.759177  (27 equations, 2 unknowns)
   alpha = 2.5: relative residual 0.770586  (27 equations, 2 unknowns)
   alpha = 2.55: relative residual 0.781367  (27 equations, 2 unknowns)
   alpha = 2.6: relative residual 0.791541  (27 equations, 2 unknowns)
   alpha = 2.65: relative residual 0.80113  (27 equations, 2 unknowns)
   alpha = 2.7: relative residual 0.810161  (27 equations, 2 unknowns)
   alpha = 2.75: relative residual 0.818659  (27 equations, 2 unknowns)
   alpha = 2.8: relative residual 0.826654  (27 equations, 2 unknowns)
   alpha = 2.85: relative residual 0.834172  (27 equations, 2 unknowns)
   alpha = 2.9: relative residual 0.841241  (27 equations, 2 unknowns)
   alpha = 2.95: relative residual 0.847889  (27 equations, 2 unknowns)
   alpha = 3.0: relative residual 0.854142  (27 equations, 2 unknowns)
   alpha = 3.05: relative residual 0.860024  (27 equations, 2 unknowns)
   alpha = 3.1: relative residual 0.865561  (27 equations, 2 unknowns)
   alpha = 3.15: relative residual 0.870774  (27 equations, 2 unknowns)
   alpha = 3.2: relative residual 0.875685  (27 equations, 2 unknowns)
   alpha = 3.25: gamma function pole
   alpha = 3.3: relative residual 0.884681  (27 equations, 2 unknowns)
   alpha = 3.35: relative residual 0.888803  (27 equations, 2 unknowns)
   alpha = 3.4: relative residual 0.892696  (27 equations, 2 unknowns)
   alpha = 3.45: relative residual 0.896376  (27 equations, 2 unknowns)
   alpha = 3.5: relative residual 0.899857  (27 equations, 2 unknowns)
   alpha = 3.55: relative residual 0.903153  (27 equations, 2 unknowns)
