F00 5 4 01 = {0, 0, 0, 0, 64/5, 0, 0, 0, 0, 0, -1328/35, -416/35, 0, 0, -736/35, 0, 0, 0, 0, 0, 26984/105, 480/7, 176/21, 0, 0, 3680/21, 288/7, 0, 0, 496/21, 0, 0, 0, 0, 0, -164434/55, -38188/55, -876/11, -56/11, 0, 0, -360044/165, -1496/3, -152/3, 0, 0, -12788/33, -232/3, 0, 0, -728/33, 0, 0, 0, 0}
F00 6 4 00 = {0, 0, 0, -768/35, 0, 0, 0, 0, 0, 1984/35, 768/35, 0, 0, 3328/105, 0, 0, 0, 0, 0, -404704/1155, -768/7, -320/21, 0, 0, -7936/33, -1408/21, 0, 0, -1088/33, 0, 0, 0, 0, 0, 57420136/15015, 54944/55, 1360/11, 256/33, 0, 0, 546592/195, 8032/11, 256/3, 0, 0, 71952/143, 1280/11, 0, 0, 12544/429, 0, 0, 0, 0, 0}
F00 6 4 10 = {0, 0, 0, 0, 0, 0, -768/35, 0, 0, 0, 0, 0, 0, 1984/35, 768/35, 0, 3328/105, 0, 0, 0, 0, 0, 0, 0, -404704/1155, -768/7, -320/21, 0, -7936/33, -1408/21, 0, -1088/33, 0, 0, 0, 0, 0, 0, 0, 0, 57420136/15015, 54944/55, 1360/11, 256/33, 0, 546592/195, 8032/11, 256/3, 0, 71952/143, 1280/11, 0, 12544/429, 0, 0}
F00 6 4 01 = {0, 0, 0, 0, -768/35, 0, 0, 0, 0, 0, 1984/35, 768/35, 0, 0, 3328/105, 0, 0, 0, 0, 0, -404704/1155, -768/7, -320/21, 0, 0, -7936/33, -1408/21, 0, 0, -1088/33, 0, 0, 0, 0, 0, 57420136/15015, 54944/55, 1360/11, 256/33, 0, 0, 546592/195, 8032/11, 256/3, 0, 0, 71952/143, 1280/11, 0, 0, 12544/429, 0, 0, 0, 0}
F00 1 5 00 = {0, 0, 0, -3/70, 0, 0, 0, 0, 0, -149/840, 11/420, 0, 0, -13/140, 0, 0, 0, 0, 0, -212939/36960, 335/1848, -19/1848, 0, 0, -625/168, 1/12, 0, 0, -23/56, 0, 0, 0, 0, 0, 269831231/640640, 39373/4160, -617/4576, 9/2288, 0, 0, 3119243/10560, 3193/528, -29/528, 0, 0, 4463/96, 31/48, 0, 0, 33/16, 0, 0, 0, 0, 0}
F00 1 5 10 = {0, 0, 0, 0, 0, 0, -3/70, 0, 0, 0, 0, 0, 0, -149/840, 11/420, 0, -13/140, 0, 0, 0, 0, 0, 0, 0, -212939/36960, 335/1848, -19/1848, 0, -625/168, 1/12, 0, -23/56, 0, 0, 0, 0, 0, 0, 0, 0, 269831231/640640, 39373/4160, -617/4576, 9/2288, 0, 3119243/10560, 3193/528, -29/528, 0, 4463/96, 31/48, 0, 33/16, 0, 0}
F00 1 5 01 = {0, 0, 0, 0, -3/70, 0, 0, 0, 0, 0, -149/840, 11/420, 0, 0, -13/140, 0, 0, 0, 0, 0, -212939/36960, 335/1848, -19/1848, 0, 0, -625/168, 1/12, 0, 0, -23/56, 0, 0, 0, 0, 0, 269831231/640640, 39373/4160, -617/4576, 9/2288, 0, 0, 3119243/10560, 3193/528, -29/528, 0, 0, 4463/96, 31/48, 0, 0, 33/16, 0, 0, 0, 0}
F00 2 5 00 = {0, 0, 0, -2/35, 0, 0, 0, 0, 0, -181/210, 4/105, 0, 0, -16/35, 0, 0, 0, 0, 0, 335107/9240, 67/66, -3/154, 0, 0, 997/42, 11/21, 0, 0, 39/14, 0, 0, 0, 0, 0, -528894823/480480, -383319/5720, -967/1144, 4/429, 0, 0, -342939/440, -5839/132, -14/33, 0, 0, -3035/24, -16/3, 0, 0, -6, 0, 0, 0, 0, 0}
F00 2 5 10 = {0, 0, 0, 0, 0, 0, -2/35, 0, 0, 0, 0, 0, 0, -181/210, 4/105, 0, -16/35, 0, 0, 0, 0, 0, 0, 0, 335107/9240, 67/66, -3/154, 0, 997/42, 11/21, 0, 39/14, 0, 0, 0, 0, 0, 0, 0, 0, -528894823/480480, -383319/5720, -967/1144, 4/429, 0, -342939/440, -5839/132, -14/33, 0, -3035/24, -16/3, 0, -6, 0, 0}
F00 2 5 01 = {0, 0, 0, 0, -2/35, 0, 0, 0, 0, 0, -181/210, 4/105, 0, 0, -16/35, 0, 0, 0, 0, 0, 335107/9240, 67/66, -3/154, 0, 0, 997/42, 11/21, 0, 0, 39/14, 0, 0, 0, 0, 0, -528894823/480480, -383319/5720, -967/1144, 4/429, 0, 0, -342939/440, -5839/132, -14/33, 0, 0, -3035/24, -16/3, 0, 0, -6, 0, 0, 0, 0}
F00 3 5 00 = {0, 0, 0, -12/35, 0, 0, 0, 0, 0, 638/105, 26/105, 0, 0, 114/35, 0, 0, 0, 0, 0, -158043/1540, -529/66, -34/231, 0, 0, -2851/42, -92/21, 0, 0, -58/7, 0, 0, 0, 0, 0, 132649631/60060, 594497/2860, 1052/143, 35/429, 0, 0, 1039609/660, 4636/33, 45/11, 0, 0, 784/3, 55/3, 0, 0, 13, 0, 0, 0, 0, 0}
F00 3 5 10 = {0, 0, 0, 0, 0, 0, -12/35, 0, 0, 0, 0, 0, 0, 638/105, 26/105, 0, 114/35, 0, 0, 0, 0, 0, 0, 0, -158043/1540, -529/66, -34/231, 0, -2851/42, -92/21, 0, -58/7, 0, 0, 0, 0, 0, 0, 0, 0, 132649631/60060, 594497/2860, 1052/143, 35/429, 0, 1039609/660, 4636/33, 45/11, 0, 784/3, 55/3, 0, 13, 0, 0}
F00 3 5 01 = {0, 0, 0, 0, -12/35, 0, 0, 0, 0, 0, 638/105, 26/105, 0, 0, 114/35, 0, 0, 0, 0, 0, -158043/1540, -529/66, -34/231, 0, 0, -2851/42, -92/21, 0, 0, -58/7, 0, 0, 0, 0, 0, 132649631/60060, 594497/2860, 1052/143, 35/429, 0, 0, 1039609/660, 4636/33, 45/11, 0, 0, 784/3, 55/3, 0, 0, 13, 0, 0, 0, 0}
F00 4 5 00 = {0, 0, 0, 96/35, 0, 0, 0, 0, 0, -1952/105, -32/15, 0, 0, -352/35, 0, 0, 0, 0, 0, 251998/1155, 6224/231, 320/231, 0, 0, 3056/21, 320/21, 0, 0, 128/7, 0, 0, 0, 0, 0, -19229902/5005, -341372/715, -3860/143, -120/143, 0, 0, -454748/165, -10840/33, -520/33, 0, 0, -1396/3, -136/3, 0, 0, -24, 0, 0, 0, 0, 0}
